id varos hely elmeny
0 Róma Pantheon Az_ókori_templom_építészeti_csodája_lenyűgöző_volt.
1 Dubai Burj_Khalifa A_tetejéről_a_város_a_lábam_előtt_terült_el.
2 Párizs Montmartre A_Sacré-Cœur_bazilika_csodálatos_épület.
3 Dubai Palm_Jumeirah A_mesterséges_sziget_felemelő_látvány_volt.
4 Dubai Palm_Jumeirah A_tengerparton_pihenve_kikapcsolódtam.
5 Berlin Reichstag A_tetején_található_kupolából_fantasztikus_a_kilátás.
6 Sydney Bondi_Beach A_habokban_pancsolva_kikapcsolódtam_a_forró_napon.
7 Berlin Múzeumsziget A_műalkotások_között_eltöltött_idő_felejthetetlen_volt.
8 Párizs Notre-Dame_Székesegyház A_katedrális_lenyűgözően_szép_és_impozáns.
9 Rio_de_Janeiro Corcovado-hegy A_hegyi_út_sok_szép_növényt_rejtett.
10 Berlin Múzeumsziget Sok_érdekességet_tanultam_a_művészetről_és_a_történelemről.
11 Róma Colosseum Sokat_tanultam_a_gladiátorok_életéről_és_küzdelmeiről.
12 London Londoni_Tower A_vár_történelmi_jelentősége_magával_ragadó_volt.
13 Rio_de_Janeiro Ipanema_Beach A_tengerpart_hangulata_és_a_zenélő_emberek_feledhetetlenek_voltak.
14 Tokió Ueno_Park Sétáltam_a_parkban_és_sok_szép_növényt_láttam.
15 Róma Pantheon Az_ókori_templom_építészeti_csodája_lenyűgöző_volt.
16 Sydney Bondi_Beach A_habokban_pancsolva_kikapcsolódtam_a_forró_napon.
17 New_York Central_Park Pihenés_a_fák_árnyékában_a_forró_napon.
18 New_York Central_Park Hosszú_séták_a_parkban_és_a_tó_partján.
19 New_York Empire_State_Building Az_estei_városfények_csodálatosak_voltak.
20 Rio_de_Janeiro Corcovado-hegy A_szobor_közelről_is_lenyűgöző_látvány_volt.
21 Tokió Ueno_Park Sétáltam_a_parkban_és_sok_szép_növényt_láttam.
22 Rio_de_Janeiro Ipanema_Beach A_homokban_pihenve_élveztem_a_napfényt.
23 Budapest Széchenyi_fürdő Szuper_időtöltés_a_barátokkal_a_szabadtéri_medencékben.
24 Dubai Burj_Khalifa A_tetejéről_a_város_a_lábam_előtt_terült_el.
25 Dubai Palm_Jumeirah A_mesterséges_sziget_felemelő_látvány_volt.
26 Tokió Szenso-ji_templom Az_óriási_lampionok_lenyűgözőek_voltak_az_esti_fényben.
27 Rio_de_Janeiro Santa_Teresa_negyed A_színes_házak_és_az_utcazenészek_sokszínűsége_felejthetetlen.
28 New_York Empire_State_Building Az_estei_városfények_csodálatosak_voltak.
29 Dubai Dubai_Mall A_szökőkutak_látványa_megkapó_volt.
30 Tokió Szenso-ji_templom Az_óriási_lampionok_lenyűgözőek_voltak_az_esti_fényben.
31 London British_Múzeum Sok_érdekességet_hallottam_a_múzeum_vezetett_túráján.
32 Budapest Széchenyi_fürdő Kiváló_pihenés_és_fürdés_a_termálvizes_medencékben.
33 Rio_de_Janeiro Tijuca_Nemzeti_Park A_túra_során_rengeteg_érdekességet_hallottam_a_parkról.
34 Tokió Szenso-ji_templom A_környező_piacokon_sokféle_érdekes_dolgot_találtam.
35 Budapest Városliget Szép_idő_volt,_jó_volt_piknikezni_a_zöld_fűben.
36 Sydney Sydney_Operaház A_kilátás_a_tetejéről_fantasztikus_volt.
37 Sydney Taronga_Állatkert A_kilátás_a_kikötőre_fantasztikus.
38 Rio_de_Janeiro Cristo_Redentor Az_ég_felé_nyújtózó_karok_üzenete_nagyon_megható_volt.
39 Rio_de_Janeiro Cristo_Redentor A_városi_panoráma_a_magasból_gyönyörű_volt.
40 Rio_de_Janeiro Corcovado-hegy A_hegyi_út_sok_szép_növényt_rejtett.
41 Róma Spanyol_lépcsők A_lépcsőkön_ülve_élveztem_a_naplementét.
42 Dubai Palm_Jumeirah A_tengerparton_pihenve_kikapcsolódtam.
43 Tokió Skytree Az_üvegfalú_lift_látványos_élmény_volt.
44 Párizs Notre-Dame_Székesegyház Felmentem_a_toronyba_és_lenyűgöző_volt_a_kilátás.
45 Berlin Múzeumsziget A_műalkotások_között_eltöltött_idő_felejthetetlen_volt.
46 Rio_de_Janeiro Santa_Teresa_negyed A_színes_házak_és_az_utcazenészek_sokszínűsége_felejthetetlen.
47 Rio_de_Janeiro Santa_Teresa_negyed A_színes_házak_és_az_utcazenészek_sokszínűsége_felejthetetlen.
48 Rio_de_Janeiro Ipanema_Beach A_tengerpart_hangulata_és_a_zenélő_emberek_feledhetetlenek_voltak.
49 Rio_de_Janeiro Corcovado-hegy A_hegyi_út_sok_szép_növényt_rejtett.
50 Rio_de_Janeiro Corcovado-hegy Fantasztikus_kilátás_a_városra_és_a_tengerre.
51 Párizs Montmartre A_Sacré-Cœur_bazilika_csodálatos_épület.
52 Berlin Brandenburgi_Kapu A_híres_helyen_sokféle_előadást_néztem_meg.
53 Budapest Széchenyi_fürdő Szuper_időtöltés_a_barátokkal_a_szabadtéri_medencékben.
54 Tokió Skytree A_környező_üzletekben_sok_ajándékot_vásároltam.
55 Dubai Palm_Jumeirah A_tengerparton_pihenve_kikapcsolódtam.
56 Róma Colosseum Sétáltam_a_felső_szinteken_és_élveztem_a_kilátást.
57 London Westminster_Palota A_Thames_folyó_partján_sétálva_élveztem_a_kilátást.
58 Tokió Ueno_Park A_tavon_csónakáztam_és_a_madarakat_etettem.
59 New_York Central_Park Pihenés_a_fák_árnyékában_a_forró_napon.
60 Párizs Louvre_Múzeum A_Mona_Lisa_hihetetlenül_lenyűgöző_volt_élőben.
61 Dubai Palm_Jumeirah A_mesterséges_sziget_felemelő_látvány_volt.
62 Budapest Városliget Sétálgatás_a_tó_partján_és_csónakázás_a_Vajdahunyad_vára_előtt.
63 Rio_de_Janeiro Corcovado-hegy A_szobor_közelről_is_lenyűgöző_látvány_volt.
